id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
108,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,0.6,23.8,4.5,0.0686947038622724,0.08544229138521803,0.22283169910976283
109,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,0.3,23.8,4.5,0.06401066201671604,0.08544229138521803,0.2134636154186501
110,8.55411063835043E18,0.63,0.7,0.04,0.093,19.0,0.6,23.8,4.5,0.06147212500450626,0.08544229138521803,0.20838654139423055
111,8.55411063835043E18,0.63,0.7,0.04,0.093,26.0,1.6,24.1,13.7,0.0664816669909214,0.08544229138521803,0.21840562536706082
112,8.55411063835043E18,0.63,0.7,0.04,0.093,26.0,1.6,23.8,4.5,0.450063645943298,0.08544229138521803,0.9855695832718141
113,8.55411063835043E18,0.63,0.7,0.04,0.093,19.0,0.3,24.1,13.7,0.3070204952657105,0.08544229138521803,0.699483281916639
114,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.6,23.8,4.5,0.06147212500450626,0.08544229138521803,0.20838654139423055
115,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,1.6,24.1,13.7,0.27384807531545163,0.08544229138521803,0.6331384420161212
116,8.55411063835043E18,0.52,0.7,0.02,0.057,34.0,1.6,24.1,13.7,0.06396687905152137,0.25367700313049196,0.3816107612335347
117,8.55411063835043E18,0.64,0.7,0.04,0.0,15.0,0.3,23.8,4.5,0.06401066201671604,0.08544229138521803,0.2134636154186501
118,8.55411063835043E18,0.52,0.7,0.04,0.097,19.0,0.6,23.8,4.5,0.1679546351631108,0.08544229138521803,0.4213515617114396
119,8.55411063835043E18,0.52,0.7,0.04,0.097,26.0,1.6,24.1,13.7,0.17455069193869704,0.08544229138521803,0.4345436752626121
120,8.55411063835043E18,0.63,0.7,0.04,0.097,34.0,1.6,24.1,13.7,0.2025841715756368,0.08544229138521803,0.4906106345364916
121,8.55411063835043E18,0.64,0.7,0.04,0.0,26.0,1.6,24.1,13.7,0.07194822815864553,0.08544229138521803,0.2293387477025091
122,8.55411063835043E18,0.63,0.7,0.04,0.0,15.0,0.3,23.8,4.5,0.06945091475294063,0.08544229138521803,0.22434412089109929
123,8.55411063835043E18,0.52,0.7,0.04,0.057,26.0,1.6,24.1,13.7,0.17455069193869704,0.08544229138521803,0.4345436752626121
124,8.55411063835043E18,0.63,0.7,0.04,0.097,15.0,0.3,23.8,4.5,0.06945091475294063,0.08544229138521803,0.22434412089109929
125,8.55411063835043E18,0.63,0.7,0.04,0.097,26.0,1.1,24.1,13.7,0.11010450692728714,0.08544229138521803,0.30565130523979234
126,8.55411063835043E18,0.56,0.7,0.04,0.057,26.0,1.6,24.1,13.7,0.11706758123118108,0.08544229138521803,0.3195774538475802
127,8.55411063835043E18,0.63,0.8,0.04,0.093,19.0,0.3,23.8,4.5,0.07068230791681704,0.1080970930608605,0.2494617088944946
128,8.55411063835043E18,0.63,0.7,0.04,0.097,26.0,1.6,23.8,4.5,0.450063645943298,0.08544229138521803,0.9855695832718141
129,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.6,24.1,13.7,0.2854619612964617,0.08544229138521803,0.6563662139781414
